Run ,Prey ,b ,a ,K,d
1,5,8,40,0.1,-1
2,5,8,40,0.1,-2
3,5,8,40,0.1,-3
4,5,8,40,0.1,-4
5,5,8,40,0.1,-5
6,5,8,40,0.01,-1
7,5,8,40,0.01,-2
8,5,8,40,0.01,-3
9,5,8,40,0.01,-4
10,5,8,40,0.01,-5
11,5,8,40,0.001,-1
12,5,8,40,0.001,-2
13,5,8,40,0.001,-3
14,5,8,40,0.001,-4
15,5,8,40,0.001,-5
16,1,8,40,0.1,-1
17,1,8,40,0.1,-2
18,1,8,40,0.1,-3
19,1,8,40,0.1,-4
20,1,8,40,0.1,-5
21,1,8,40,0.01,-1
22,1,8,40,0.01,-2
23,1,8,40,0.01,-3
24,1,8,40,0.01,-4
25,1,8,40,0.01,-5
26,1,8,40,0.001,-1
27,1,8,40,0.001,-2
28,1,8,40,0.001,-3
29,1,8,40,0.001,-4
30,1,8,40,0.001,-5
31,0,8,40,0.1,-1
32,0,8,40,0.1,-2
33,0,8,40,0.1,-3
34,0,8,40,0.1,-4
35,0,8,40,0.1,-5
36,0,8,40,0.01,-1
37,0,8,40,0.01,-2
38,0,8,40,0.01,-3
39,0,8,40,0.01,-4
40,0,8,40,0.01,-5
41,0,8,40,0.001,-1
42,0,8,40,0.001,-2
43,0,8,40,0.001,-3
44,0,8,40,0.001,-4
45,0,8,40,0.001,-5
46,5,4,20,0.1,-1
47,5,4,20,0.1,-2
48,5,4,20,0.1,-3
49,5,4,20,0.1,-4
50,5,4,20,0.1,-5
51,5,4,20,0.01,-1
52,5,4,20,0.01,-2
53,5,4,20,0.01,-3
54,5,4,20,0.01,-4
55,5,4,20,0.01,-5
56,5,4,20,0.001,-1
57,5,4,20,0.001,-2
58,5,4,20,0.001,-3
59,5,4,20,0.001,-4
60,5,4,20,0.001,-5
61,1,4,20,0.1,-1
62,1,4,20,0.1,-2
63,1,4,20,0.1,-3
64,1,4,20,0.1,-4
65,1,4,20,0.1,-5
66,1,4,20,0.01,-1
67,1,4,20,0.01,-2
68,1,4,20,0.01,-3
69,1,4,20,0.01,-4
70,1,4,20,0.01,-5
71,1,4,20,0.001,-1
72,1,4,20,0.001,-2
73,1,4,20,0.001,-3
74,1,4,20,0.001,-4
75,1,4,20,0.001,-5
76,0,4,20,0.1,-1
77,0,4,20,0.1,-2
78,0,4,20,0.1,-3
79,0,4,20,0.1,-4
80,0,4,20,0.1,-5
81,0,4,20,0.01,-1
82,0,4,20,0.01,-2
83,0,4,20,0.01,-3
84,0,4,20,0.01,-4
85,0,4,20,0.01,-5
86,0,4,20,0.001,-1
87,0,4,20,0.001,-2
88,0,4,20,0.001,-3
89,0,4,20,0.001,-4
90,0,4,20,0.001,-5
91,5,2,10,0.1,-1
92,5,2,10,0.1,-2
93,5,2,10,0.1,-3
94,5,2,10,0.1,-4
95,5,2,10,0.1,-5
96,5,2,10,0.01,-1
97,5,2,10,0.01,-2
98,5,2,10,0.01,-3
99,5,2,10,0.01,-4
100,5,2,10,0.01,-5
101,5,2,10,0.001,-1
102,5,2,10,0.001,-2
103,5,2,10,0.001,-3
104,5,2,10,0.001,-4
105,5,2,10,0.001,-5
106,1,2,10,0.1,-1
107,1,2,10,0.1,-2
108,1,2,10,0.1,-3
109,1,2,10,0.1,-4
110,1,2,10,0.1,-5
111,1,2,10,0.01,-1
112,1,2,10,0.01,-2
113,1,2,10,0.01,-3
114,1,2,10,0.01,-4
115,1,2,10,0.01,-5
116,1,2,10,0.001,-1
117,1,2,10,0.001,-2
118,1,2,10,0.001,-3
119,1,2,10,0.001,-4
120,1,2,10,0.001,-5
121,0,2,10,0.1,-1
122,0,2,10,0.1,-2
123,0,2,10,0.1,-3
124,0,2,10,0.1,-4
125,0,2,10,0.1,-5
126,0,2,10,0.01,-1
127,0,2,10,0.01,-2
128,0,2,10,0.01,-3
129,0,2,10,0.01,-4
130,0,2,10,0.01,-5
131,0,2,10,0.001,-1
132,0,2,10,0.001,-2
133,0,2,10,0.001,-3
134,0,2,10,0.001,-4
135,0,2,10,0.001,-5
136,5,1,5,0.1,-1
137,5,1,5,0.1,-2
138,5,1,5,0.1,-3
139,5,1,5,0.1,-4
140,5,1,5,0.1,-5
141,5,1,5,0.01,-1
142,5,1,5,0.01,-2
143,5,1,5,0.01,-3
144,5,1,5,0.01,-4
145,5,1,5,0.01,-5
146,5,1,5,0.001,-1
147,5,1,5,0.001,-2
148,5,1,5,0.001,-3
149,5,1,5,0.001,-4
150,5,1,5,0.001,-5
151,1,1,5,0.1,-1
152,1,1,5,0.1,-2
153,1,1,5,0.1,-3
154,1,1,5,0.1,-4
155,1,1,5,0.1,-5
156,1,1,5,0.01,-1
157,1,1,5,0.01,-2
158,1,1,5,0.01,-3
159,1,1,5,0.01,-4
160,1,1,5,0.01,-5
161,1,1,5,0.001,-1
162,1,1,5,0.001,-2
163,1,1,5,0.001,-3
164,1,1,5,0.001,-4
165,1,1,5,0.001,-5
166,0,1,5,0.1,-1
167,0,1,5,0.1,-2
168,0,1,5,0.1,-3
169,0,1,5,0.1,-4
170,0,1,5,0.1,-5
171,0,1,5,0.01,-1
172,0,1,5,0.01,-2
173,0,1,5,0.01,-3
174,0,1,5,0.01,-4
175,0,1,5,0.01,-5
176,0,1,5,0.001,-1
177,0,1,5,0.001,-2
178,0,1,5,0.001,-3
179,0,1,5,0.001,-4
180,0,1,5,0.001,-5
