"","t","w","A","a","n","x"
"1",1,0,0,10,0,0
"2",2,0,0,0.948517463551336,0,0
"3",3,0,0,0.0899685378661859,0,0
"4",4,0,0,0.0085336729336257,0,0
"5",5,0,0,0.000809433780577933,0,0
"6",6,0,0,7.6776207646655e-05,0,0
"7",7,0,0,7.28235737380958e-06,0,0
"8",8,0,0,6.90744314488023e-07,0,0
"9",9,0,0,6.55183045140686e-08,0,0
"10",10,0,0,6.21452560138683e-09,0,0
"11",11,0,0,5.89458606060228e-10,0,0
"12",12,0,0,5.59111781888753e-11,0,0
"13",13,0,0,5.30327289198788e-12,0,0
"14",14,0,0,5.0302469520289e-13,0,0
"15",15,0,0,4.77127707997529e-14,0,0
"16",16,0,0,4.52563963379878e-15,0,0
"17",17,0,0,4.29264822639822e-16,0,0
"18",18,0,0,4.07165180762138e-17,0,0
"19",19,0,0,3.86203284502924e-18,0,0
"20",20,0,0,3.66320559831908e-19,0,0
"21",21,0,0,3.47461448258467e-20,0,0
"22",22,0,0,3.29573251583995e-21,0,0
"23",23,0,0,3.12605984646817e-22,0,0
"24",24,0,0,2.96512235648166e-23,0,0
"25",25,0,0,2.81247033668935e-24,0,0
"26",26,0,0,2.66767723006995e-25,0,0
"27",27,0,0,2.5303384398396e-26,0,0
"28",28,0,0,2.4000701988831e-27,0,0
"29",29,0,0,2.27650849738975e-28,0,0
"30",30,0,0,2.15930806569719e-29,0,0
"31",31,0,0,2.04814140950104e-30,0,0
"32",32,0,0,1.94269789473438e-31,0,0
"33",33,0,0,1.84268287955998e-32,0,0
"34",34,0,0,1.7478168910497e-33,0,0
"35",35,0,0,1.65783484425064e-34,0,0
"36",36,0,0,1.57248530145564e-35,0,0
"37",37,0,0,1.49152976960846e-36,0,0
"38",38,0,0,1.41474203388033e-37,0,0
"39",39,0,0,1.34190752555563e-38,0,0
"40",40,0,0,1.27282272246047e-39,0,0
"41",41,0,0,1.20729458025871e-40,0,0
"42",42,0,0,1.14513999302627e-41,0,0
"43",43,0,0,1.08618528159647e-42,0,0
"44",44,0,0,1.03026570824668e-43,0,0
"45",45,0,0,9.77225016370058e-45,0,0
"46",46,0,0,9.2691499384624e-46,0,0
"47",47,0,0.413984036054858,8.79195058890738e-47,0,0
"48",48,0,0.845141528251677,8.3393186722591e-48,0,0
"49",49,0,1.22413004205531,7.90998939475749e-49,0,0
"50",50,0,1.55729521699822,7.50276307743334e-50,0,0
"51",51,0,1.85020753306222,7.11650180383368e-51,0,0
"52",52,0,2.10775731618731,6.75012624033083e-52,0,0
"53",53,0,2.33423807154327,6.40261262012991e-53,0,0
"54",54,0,2.53341958079029,6.0729898825474e-54,0,0
"55",55,0,2.7086120227173,5.76033695956678e-55,0,0
"56",56,0,2.86272222157677,5.46378020208929e-56,0,0
"57",57,0,2.99830299145787,5.18249093868774e-57,0,0
"58",58,0,3.11759642580554,4.91568316004188e-58,0,0
"59",59,0,3.22257187664356,4.66261132258494e-59,0,0
"60",60,0,3.31495927638606,4.422568265224e-60,0,0
"61",61,0,3.39627837474037,4.1948832333129e-61,0,0
"62",62,0,3.46786439272418,3.97892000435598e-62,0,0
"63",63,0,3.5308905340222,3.7740751102054e-63,0,0
"64",64,0,3.58638773972254,3.57977615078426e-64,0,0
"65",65,0,3.6352620249639,3.39548019462345e-65,0,0
"66",66,0,3.67830969436727,3.22067226174303e-66,0,0
"67",67,0,3.71623069660167,3.05486388463864e-67,0,0
"68",68,0,3.74964034640701,2.89759174335202e-68,0,0
"69",69,0,3.7790796143171,2.74841637081155e-69,0,0
"70",70,0,3.80502415970327,2.60692092482514e-70,0,0
"71",71,0,3.8278922611698,2.47271002329404e-71,0,0
"72",72,0,3.84805177940145,2.34540863939283e-72,0,0
"73",73,0,3.86582627096309,2.22466105362828e-73,0,0
"74",74,0,3.88150035699563,2.11012985984894e-74,0,0
"75",75,0,3.89532443798774,2.00149502242785e-75,0,0
"76",76,0,3.90751883460934,1.89845298198389e-76,0,0
"77",77,0,3.9182774247768,1.80071580714282e-77,0,0
"78",78,0,3.92777083851131,1.70801038996791e-78,0,0
"79",79,0,3.93614926460188,1.62007768281169e-79,0,0
"80",80,0,3.9435449164635,1.53667197445667e-80,0,0
"81",81,0,3.95007419877344,1.45756020352206e-81,0,0
"82",82,0,3.95583961137487,1.38252130721811e-82,0,0
"83",83,0,3.96093142246969,1.3113456036282e-83,0,0
"84",84,0,3.96542913920287,1.24383420579262e-84,0,0
"85",85,0,3.9694028003033,1.1797984659568e-85,0,0
"86",86,0,3.97291411242996,1.1190594484311e-86,0,0
"87",87,0,3.97601744922667,1.06144742958903e-87,0,0
"88",88,0,3.97876072976729,1.00680142360687e-88,0,0
"89",89,0,3.98118619103678,9.54968732619461e-90,0,0
"90",90,0,3.98333106730615,9.05804520035045e-91,0,0
"91",91,0,3.98522818769173,8.59171405816976e-92,0,0
"92",92,0,3.98690650181263,8.14939082601353e-93,0,0
"93",93,0,3.9883915422528,7.72983951577888e-94,0,0
"94",94,0,3.98970583147437,7.33188777116547e-95,0,0
"95",95,0,3.9908692398983,6.95442359174893e-96,0,0
"96",96,0,3.99189930105203,6.59639222570726e-97,0,0
"97",97,0,3.99281148896696,6.2567932225176e-98,0,0
"98",98,0,3.99361946237904,5.93467763738758e-99,0,0
"99",99,0,3.99433527973363,5.6291453796097e-100,0,0
"100",100,0,3.99496958851021,5.33934269742911e-101,0,0
"101",101,0,3.9955317919568,5.06445979239681e-102,0,0
"102",102,0,3.99603019594978,4.80372855654195e-103,0,0
"103",103,0,3.99647213836606,4.55642042604028e-104,0,0
"104",104,0,3.99686410306627,4.32184434538123e-105,0,0
"105",105,0,3.99721182033372,4.09934483634468e-106,0,0
"106",106,0,3.99752035539169,3.88830016639192e-107,0,0
"107",107,0,3.99779418642527,3.6881206113523e-108,0,0
"108",108,0,3.99803727336283,3.49824680755129e-109,0,0
"109",109,0,3.99825311852042,3.31814818877511e-110,0,0
"110",110,0,3.9984448200801,3.14732150370442e-111,0,0
"111",111,0,3.99861511925623,2.98528940967429e-112,0,0
"112",112,0,3.99876644190135,2.83159913883093e-113,0,0
"113",113,0,3.99890093521299,2.68582123295806e-114,0,0
"114",114,0,3.9990205001235,2.5475483434377e-115,0,0
"115",115,0,3.99912681988531,2.41639409299193e-116,0,0
"116",116,0,3.9992213853026,2.29199199602514e-117,0,0
"117",117,0,3.99930551700672,2.17399443454972e-118,0,0
"118",118,0,3.99938038512481,2.06207168683382e-119,0,0
"119",119,0,3.99944702664992,1.95591100605664e-120,0,0
"120",120,0,3.99950636078365,1.85521574639699e-121,0,0
"121",121,0,3.99955920249057,1.75970453411297e-122,0,0
"122",122,0,3.99960627447469,1.66911048129662e-123,0,0
"123",123,0,3.99964821776388,1.58318044010642e-124,0,0
"124",124,0,3.99968560106543,1.50167429539383e-125,0,0
"125",125,0,3.99971892903715,1.42436429374719e-126,0,0
"126",126,0,3.99974864960099,1.35103440707818e-127,0,0
"127",127,0,3.99977516041114,1.28147972897237e-128,0,0
"128",128,0,3.99979881457563,1.21550590211733e-129,0,0
"129",129,0,3.99981992571835,1.15292857520801e-130,0,0
"130",130,0,3.99983877245846,1.09357288781215e-131,0,0
"131",131,0,3.99985560237513,1.03727298175609e-132,0,0
"132",132,0,3.99987063551716,9.8387153766562e-134,0,0
"133",133,0,3.99988406751063,9.33219335366947e-135,0,0
"134",134,0,3.99989607231095,8.85174836919319e-136,0,0
"135",135,0,3.99990680464061,8.3960379111418e-137,0,0
"136",136,0,3.99991640214892,7.96378858335708e-138,0,0
"137",137,0,3.99992498732583,7.55379254734494e-139,0,0
"138",138,0,3.99993266919818,7.1649041472006e-140,0,0
"139",139,0,3.99993954483347,6.79603670829116e-141,0,0
"140",140,0,3.99994570067323,6.4461595007501e-142,0,0
"141",141,0,3.9999512137155,6.11429485929883e-143,0,0
"142",142,0,3.99995615256388,5.7995154513471e-144,0,0
"143",143,0,3.99996057835819,5.50094168573853e-145,0,0
"144",144,0,3.99996454560048,5.21773925490052e-146,0,0
"145",145,0,3.99996810288815,4.94911680353047e-147,0,0
"146",146,0,3.99997129356492,4.69432371730402e-148,0,0
"147",147,0,3.99997415629885,4.45264802542608e-149,0,0
"148",148,0,3.9999767255958,4.22341441116401e-150,0,0
"149",149,0,3.99997903225556,4.00598232480345e-151,0,0
"150",150,0,3.99998110377723,3.79974419375405e-152,0,0
"151",151,0,3.99998296471948,3.6041237248035e-153,0,0
"152",152,0,3.99998463702092,3.41857429377581e-154,0,0
"153",153,0,3.99998614028488,3.24257741809403e-155,0,0
"154",154,0,3.99998749203277,3.07564130797939e-156,0,0
"155",155,0,3.9999887079295,2.91729949223832e-157,0,0
"156",156,0,3.99998980198404,2.76710951479749e-158,0,0
"157",157,0,3.99999078672792,2.62465169834449e-159,0,0
"158",158,0,3.99999167337418,2.48952797161942e-160,0,0
"159",159,0,3.99999247195892,2.36136075708055e-161,0,0
"160",160,0,3.99999319146734,2.23979191583571e-162,0,0
"161",161,0,3.99999383994609,2.12448174689127e-163,0,0
"162",162,0,3.99999442460331,2.01510803792242e-164,0,0
"163",163,0,3.99999495189793,1.91136516491208e-165,0,0
"164",164,0,3.99999542761912,1.81296323814279e-166,0,0
"165",165,0,3.99999585695731,1.71962729215501e-167,0,0
"166",166,0,3.99999624456745,1.63109651740852e-168,0,0
"167",167,0,3.99999659462543,1.54712353149975e-169,0,0
"168",168,0,3.99999691087856,1.46747368789873e-170,0,0
"169",169,0,3.99999719669046,1.39192442027403e-171,0,0
"170",170,0,3.99999745508134,1.32026462057348e-172,0,0
"171",171,0,3.99999768876375,1.25229404912293e-173,0,0
"172",172,0,3.99999790017477,1.18782277509451e-174,0,0
"173",173,0,3.99999809150455,1.12667064578115e-175,0,0
"174",174,0,3.99999826472197,1.06866678319408e-176,0,0
"175",175,0,3.99999842159752,1.01364910657682e-177,0,0
"176",176,0,3.99999856372378,9.6146387950132e-179,0,0
"177",177,0,3.99999869253372,9.11965280280819e-180,0,0
"178",178,0,3.99999880931712,8.65014994498846e-181,0,0
"179",179,0,3.9999989152352,8.20481828515918e-182,0,0
"180",180,0,3.9999990113338,7.7824134287388e-183,0,0
"181",181,0,3.99999909855509,7.38175504573518e-184,0,0
"182",182,0,3.99999917774816,7.00172357253801e-185,0,0
"183",183,0,3.99999924967841,6.64125708351135e-186,0,0
"184",184,0,3.99999931503606,6.29934832364452e-187,0,0
"185",185,0,3.9999993744437,5.97504189396966e-188,0,0
"186",186,0,3.99999942846309,5.66743158188107e-189,0,0
"187",187,0,3.99999947760129,5.37565782889657e-190,0,0
"188",188,0,3.99999952231613,5.09890532878485e-191,0,0
"189",189,0,3.9999995630211,4.8364007493474e-192,0,0
"190",190,0,3.99999960008977,4.58741057148877e-193,0,0
